epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2218.85,1.39797,1.0456,1.19255,0.68342,0.60382,0.64697,0.36903,1.46417,1.08775,1.21961,0.00249053,0.00249053,0.00249053
43,2271.32,1.40245,1.02929,1.19251,0.74043,0.61199,0.67029,0.37491,1.4468,1.04731,1.20949,0.00246701,0.00246701,0.00246701
44,2325.3,1.38934,1.02543,1.18851,0.72665,0.59727,0.65071,0.38017,1.43985,1.05607,1.19392,0.00244309,0.00244309,0.00244309
45,2378.36,1.3944,1.02907,1.19608,0.75582,0.59832,0.66994,0.39009,1.40502,1.03389,1.17381,0.00241876,0.00241876,0.00241876
46,2430.63,1.36441,1.00549,1.18126,0.72565,0.59832,0.67452,0.39826,1.41322,1.02116,1.17831,0.00239404,0.00239404,0.00239404
47,2483.71,1.36385,0.99855,1.18336,0.73591,0.59484,0.67852,0.39358,1.40712,0.99339,1.17224,0.00236895,0.00236895,0.00236895
48,2535.14,1.35956,0.99374,1.17414,0.70237,0.5531,0.60832,0.33049,1.53498,1.25302,1.25067,0.00234349,0.00234349,0.00234349
49,2587.67,1.36022,0.98879,1.17723,0.71768,0.58991,0.65541,0.35864,1.51297,1.06816,1.23632,0.00231767,0.00231767,0.00231767
50,2641.91,1.3548,0.97507,1.17163,0.7186,0.60417,0.66945,0.38499,1.43623,1.03657,1.1857,0.0022915,0.0022915,0.0022915
51,2693.79,1.3532,0.96533,1.16839,0.74378,0.62776,0.69283,0.40715,1.39588,0.96073,1.16795,0.002265,0.002265,0.002265
52,2745.59,1.35654,0.97409,1.17278,0.72714,0.60358,0.66423,0.37569,1.42168,1.05375,1.18482,0.00223818,0.00223818,0.00223818
53,2798.32,1.33448,0.95438,1.16048,0.74905,0.60262,0.68337,0.39441,1.44242,0.99554,1.18803,0.00221105,0.00221105,0.00221105
54,2850.36,1.35111,0.96975,1.16198,0.73824,0.6554,0.71193,0.40724,1.40824,0.93662,1.17577,0.00218361,0.00218361,0.00218361
55,2902.75,1.32744,0.94917,1.15636,0.78088,0.59584,0.68559,0.3986,1.38094,0.97527,1.1684,0.0021559,0.0021559,0.0021559
56,2956.35,1.32367,0.93388,1.16297,0.76039,0.61725,0.69897,0.4023,1.38607,0.95692,1.16134,0.0021279,0.0021279,0.0021279
57,3009.75,1.32177,0.93484,1.15133,0.767,0.58991,0.67857,0.39743,1.40248,0.99784,1.16867,0.00209965,0.00209965,0.00209965
58,3061.27,1.33586,0.94757,1.16348,0.69881,0.63676,0.67463,0.39033,1.41719,0.97376,1.18181,0.00207114,0.00207114,0.00207114
59,3114.11,1.31734,0.93027,1.1506,0.73184,0.63828,0.69279,0.4128,1.38198,0.97081,1.1633,0.0020424,0.0020424,0.0020424
60,3167.51,1.31377,0.92042,1.14894,0.75292,0.63197,0.6956,0.40078,1.39945,0.95702,1.16672,0.00201343,0.00201343,0.00201343
61,3219.51,1.30971,0.90874,1.15064,0.73622,0.63981,0.71168,0.41245,1.38538,0.94738,1.16702,0.00198425,0.00198425,0.00198425
62,3271.24,1.29481,0.91283,1.13858,0.71189,0.64954,0.69208,0.4064,1.37749,0.95436,1.15541,0.00195488,0.00195488,0.00195488
63,3325.7,1.30412,0.91266,1.14353,0.77201,0.60883,0.71054,0.40755,1.40706,0.94819,1.16709,0.00192531,0.00192531,0.00192531
64,3379.31,1.29454,0.89899,1.13777,0.73531,0.65089,0.7048,0.40761,1.38733,0.93563,1.16984,0.00189557,0.00189557,0.00189557
65,3431.31,1.29319,0.90878,1.13744,0.77012,0.65089,0.71859,0.42497,1.35288,0.92683,1.13741,0.00186568,0.00186568,0.00186568
66,3484.45,1.30685,0.90521,1.14308,0.76345,0.64038,0.70609,0.4195,1.34323,0.92771,1.1493,0.00183563,0.00183563,0.00183563
67,3536.11,1.28208,0.89304,1.13381,0.73432,0.64248,0.70311,0.41474,1.36964,0.93239,1.16036,0.00180545,0.00180545,0.00180545
68,3588.81,1.27232,0.8882,1.1225,0.75966,0.64458,0.72079,0.43365,1.35228,0.89582,1.14655,0.00177515,0.00177515,0.00177515
69,3641.2,1.28326,0.87821,1.13377,0.74717,0.64637,0.71697,0.43107,1.33463,0.90775,1.12846,0.00174474,0.00174474,0.00174474
70,3693.39,1.27545,0.8785,1.13254,0.75734,0.66294,0.72232,0.43588,1.32618,0.88992,1.13399,0.00171424,0.00171424,0.00171424
71,3745.06,1.25749,0.8709,1.12098,0.75777,0.65089,0.71952,0.43088,1.34469,0.90829,1.13971,0.00168366,0.00168366,0.00168366
72,3796.71,1.25314,0.86212,1.11616,0.7526,0.67823,0.73013,0.42399,1.38486,0.88986,1.14571,0.00165301,0.00165301,0.00165301
73,3848.39,1.25963,0.86086,1.11746,0.75684,0.67093,0.71962,0.43636,1.34236,0.86085,1.13917,0.0016223,0.0016223,0.0016223
74,3900.75,1.23277,0.84723,1.11102,0.76586,0.66036,0.72971,0.44431,1.30845,0.86061,1.13097,0.00159156,0.00159156,0.00159156
75,3952.64,1.25015,0.85134,1.11014,0.7746,0.65615,0.72329,0.43712,1.3268,0.89556,1.13673,0.00156079,0.00156079,0.00156079
76,4004.39,1.23713,0.84012,1.10971,0.72894,0.6877,0.72202,0.43222,1.34259,0.87037,1.1397,0.00153,0.00153,0.00153
77,4056.32,1.24128,0.84132,1.10869,0.78897,0.63512,0.7136,0.41688,1.35166,0.91861,1.13546,0.00149921,0.00149921,0.00149921
78,4109.6,1.22138,0.8317,1.09919,0.76097,0.66952,0.73041,0.43763,1.33974,0.87229,1.13971,0.00146844,0.00146844,0.00146844
79,4161.73,1.23594,0.82725,1.10576,0.76305,0.6551,0.71756,0.43714,1.3365,0.89457,1.14277,0.0014377,0.0014377,0.0014377
80,4215.5,1.23412,0.83232,1.11095,0.77433,0.67718,0.73483,0.44777,1.3082,0.85804,1.12914,0.00140699,0.00140699,0.00140699
81,4267.68,1.21464,0.81928,1.10563,0.79902,0.64038,0.72316,0.42898,1.3684,0.88871,1.14774,0.00137634,0.00137634,0.00137634
82,4320.79,1.21561,0.8216,1.09993,0.77484,0.67307,0.73585,0.44107,1.33648,0.84284,1.13721,0.00134576,0.00134576,0.00134576
83,4374.55,1.21325,0.81706,1.10141,0.77738,0.67192,0.73909,0.44638,1.30351,0.8475,1.11662,0.00131526,0.00131526,0.00131526
84,4427.36,1.20015,0.79539,1.09623,0.80389,0.65615,0.73576,0.44726,1.31352,0.85089,1.12406,0.00128485,0.00128485,0.00128485
85,4478.3,1.21057,0.8118,1.09267,0.77009,0.68329,0.74113,0.45663,1.28356,0.8397,1.10138,0.00125455,0.00125455,0.00125455
86,4529.08,1.18427,0.79782,1.08759,0.80784,0.65427,0.74316,0.45204,1.29868,0.84345,1.11641,0.00122437,0.00122437,0.00122437
87,4580.65,1.19402,0.8067,1.09265,0.7659,0.67508,0.73753,0.44977,1.32341,0.86004,1.13614,0.00119432,0.00119432,0.00119432
88,4632.66,1.19775,0.78694,1.08884,0.78557,0.67192,0.74025,0.4569,1.28587,0.83119,1.11762,0.00116443,0.00116443,0.00116443
89,4684.42,1.18514,0.79554,1.08982,0.78586,0.65603,0.73617,0.44796,1.30258,0.83576,1.12415,0.00113469,0.00113469,0.00113469
90,4737.73,1.19428,0.7804,1.09171,0.77763,0.66562,0.73937,0.45209,1.30832,0.84303,1.11803,0.00110512,0.00110512,0.00110512
91,4789.03,1.18238,0.78503,1.08711,0.80224,0.67508,0.74377,0.45295,1.31526,0.85255,1.12229,0.00107575,0.00107575,0.00107575
92,4840.83,1.16617,0.77431,1.08051,0.76317,0.69401,0.74646,0.45537,1.3122,0.84596,1.13013,0.00104657,0.00104657,0.00104657
93,4892.64,1.1881,0.78955,1.08703,0.79446,0.67877,0.74646,0.45946,1.28845,0.83436,1.12043,0.0010176,0.0010176,0.0010176
94,4945.18,1.17305,0.77109,1.08268,0.81724,0.66246,0.74964,0.45954,1.3028,0.83696,1.12075,0.000988857,0.000988857,0.000988857
95,4996.66,1.1735,0.77046,1.08424,0.78044,0.66772,0.74948,0.46058,1.30024,0.82688,1.11975,0.000960352,0.000960352,0.000960352
96,5048.45,1.15495,0.76193,1.08041,0.78735,0.66575,0.74405,0.45466,1.32552,0.83397,1.14284,0.000932097,0.000932097,0.000932097
97,5102.53,1.15995,0.76184,1.0753,0.80769,0.66772,0.74695,0.45898,1.30376,0.83183,1.1304,0.000904104,0.000904104,0.000904104
